ZipCode,county,state,Youth,Pediatric,Adult,Retirement
19801,New Castle County,DE,NA,NA,66.26637554585153,82.47863247863248
19802,New Castle County,DE,NA,NA,41.26637554585153,22.64957264957265
19804,New Castle County,DE,NA,NA,27.183406113537117,NA
19805,New Castle County,DE,4.176334106728538,NA,44.213973799126634,NA
19808,New Castle County,DE,NA,NA,21.83406113537118,NA
19810,New Castle County,DE,34.106728538283065,NA,NA,NA
19904,Kent County,DE,15.54524361948956,NA,38.209606986899566,NA
19933,Sussex County,DE,NA,NA,65.82969432314411,NA
19934,Kent County,DE,NA,NA,67.35807860262008,NA
19945,Sussex County,DE,NA,NA,NA,61.53846153846154
19958,Sussex County,DE,NA,NA,31.877729257641924,NA
19962,Kent County,DE,NA,NA,71.06986899563319,NA
19973,Sussex County,DE,NA,NA,NA,20.51282051282051
19977,Kent County,DE,NA,NA,51.52838427947598,NA
32043,Clay County,FL,98.83990719257541,NA,NA,NA
32053,Hamilton County,FL,NA,NA,98.47161572052401,NA
32060,Suwannee County,FL,40.37122969837587,NA,NA,NA
32073,Clay County,FL,NA,NA,23.144104803493452,NA
32118,Volusia County,FL,NA,NA,77.51091703056768,NA
32168,Volusia County,FL,63.57308584686775,NA,57.314410480349345,NA
32207,Duval County,FL,NA,NA,17.903930131004365,NA
32258,Duval County,FL,68.90951276102089,NA,NA,NA
32277,Duval County,FL,57.772621809744784,NA,NA,NA
32404,Bay County,FL,NA,NA,52.7292576419214,NA
32405,Bay County,FL,NA,NA,25.655021834061138,NA
32424,Calhoun County,FL,NA,NA,65.39301310043668,NA
32446,Jackson County,FL,NA,75.51724137931033,NA,NA
32503,Escambia County,FL,NA,NA,20.633187772925766,NA
32504,Escambia County,FL,31.322505800464036,NA,NA,NA
32526,Escambia County,FL,33.4106728538283,NA,58.73362445414847,NA
32533,Escambia County,FL,36.42691415313225,NA,NA,NA
32570,Santa Rosa County,FL,NA,NA,10.37117903930131,NA
32608,Alachua County,FL,NA,NA,8.078602620087336,NA
32609,Alachua County,FL,NA,NA,48.36244541484716,NA
32720,Volusia County,FL,NA,NA,53.38427947598253,NA
32738,Volusia County,FL,NA,NA,34.06113537117904,NA
32750,Seminole County,FL,NA,NA,62.772925764192145,NA
32757,Lake County,FL,NA,NA,52.29257641921398,NA
32780,Brevard County,FL,NA,NA,37.00873362445415,NA
32803,Orange County,FL,NA,NA,85.80786026200873,NA
32805,Orange County,FL,NA,NA,31.222707423580786,NA
32817,Orange County,FL,NA,25.17241379310345,NA,NA
32824,Orange County,FL,NA,NA,70.19650655021834,NA
32828,Orange County,FL,NA,NA,34.60698689956332,NA
32927,Brevard County,FL,NA,NA,49.672489082969435,NA
32966,Indian River County,FL,NA,NA,71.83406113537117,NA
33016,Miami-Dade County,FL,NA,NA,50.65502183406113,NA
33020,Broward County,FL,NA,55.172413793103445,NA,NA
33128,Miami-Dade County,FL,NA,NA,NA,85.47008547008546
33136,Miami-Dade County,FL,NA,NA,45.96069868995633,NA
33150,Miami-Dade County,FL,NA,35.86206896551724,NA,NA
33174,Miami-Dade County,FL,NA,57.24137931034483,NA,NA
33176,Miami-Dade County,FL,NA,NA,63.64628820960698,NA
33186,Miami-Dade County,FL,NA,NA,47.27074235807861,NA
33309,Broward County,FL,NA,22.413793103448278,NA,NA
33313,Broward County,FL,NA,19.655172413793103,NA,NA
33327,Broward County,FL,NA,85.17241379310346,NA,NA
33351,Broward County,FL,38.97911832946635,NA,NA,NA
33460,Palm Beach County,FL,NA,32.068965517241374,NA,NA
33487,Palm Beach County,FL,66.12529002320186,NA,NA,NA
33523,Pasco County,FL,NA,53.79310344827586,NA,NA
33544,Pasco County,FL,NA,86.55172413793103,NA,NA
33566,Hillsborough County,FL,NA,NA,53.82096069868996,NA
33584,Hillsborough County,FL,NA,NA,50.87336244541485,NA
33618,Hillsborough County,FL,NA,82.75862068965517,NA,NA
33647,Hillsborough County,FL,36.89095127610209,NA,NA,NA
33770,Pinellas County,FL,NA,NA,NA,57.26495726495726
33782,Pinellas County,FL,NA,NA,63.20960698689956,NA
33825,Highlands County,FL,NA,NA,NA,16.23931623931624
33830,Polk County,FL,50.580046403712295,NA,NA,NA
33870,Highlands County,FL,89.0951276102088,NA,NA,NA
33875,Highlands County,FL,NA,NA,NA,67.09401709401709
33907,Lee County,FL,NA,NA,43.88646288209607,NA
33909,Lee County,FL,NA,NA,38.318777292576414,NA
33954,Charlotte County,FL,NA,NA,94.65065502183407,NA
33955,Charlotte County,FL,84.22273781902551,NA,NA,NA
33983,Charlotte County,FL,NA,66.55172413793103,NA,NA
34103,Collier County,FL,NA,NA,NA,82.05128205128204
34224,Charlotte County,FL,NA,NA,NA,61.111111111111114
34231,Sarasota County,FL,NA,NA,NA,17.94871794871795
34232,Sarasota County,FL,89.79118329466357,NA,72.37991266375546,NA
34234,Sarasota County,FL,NA,40.689655172413794,NA,NA
34243,Manatee County,FL,NA,NA,54.80349344978166,NA
34275,Sarasota County,FL,71.22969837587007,NA,NA,NA
34287,Sarasota County,FL,47.33178654292343,53.103448275862064,48.03493449781659,28.63247863247863
34288,Sarasota County,FL,78.88631090487239,NA,NA,NA
34293,Sarasota County,FL,NA,74.13793103448276,NA,NA
34461,Citrus County,FL,NA,NA,NA,81.19658119658119
34465,Citrus County,FL,63.57308584686775,NA,NA,NA
34470,Marion County,FL,NA,NA,46.17903930131004,NA
34472,Marion County,FL,96.75174013921114,NA,NA,NA
34476,Marion County,FL,NA,NA,55.67685589519651,NA
34488,Marion County,FL,NA,NA,68.66812227074236,NA
34491,Marion County,FL,NA,42.06896551724138,NA,NA
34609,Hernando County,FL,NA,NA,30.67685589519651,NA
34667,Pasco County,FL,NA,NA,40.39301310043668,NA
34668,Pasco County,FL,NA,30.689655172413794,11.790393013100436,NA
34946,St. Lucie County,FL,NA,NA,75.10917030567686,NA
34951,St. Lucie County,FL,NA,NA,78.82096069868996,NA
34997,Martin County,FL,NA,NA,28.16593886462882,NA
30005,Fulton County,GA,32.25058004640371,NA,NA,NA
30024,Gwinnett County,GA,NA,NA,20.96069868995633,NA
30034,DeKalb County,GA,NA,NA,28.38427947598253,NA
30035,DeKalb County,GA,NA,58.620689655172406,NA,NA
30044,Gwinnett County,GA,NA,NA,NA,15.384615384615385
30052,Walton County,GA,27.842227378190255,NA,NA,NA
30120,Bartow County,GA,NA,70.34482758620689,NA,NA
30127,Cobb County,GA,NA,NA,NA,31.196581196581196
30132,Paulding County,GA,56.8445475638051,NA,NA,NA
30134,Douglas County,GA,NA,NA,NA,30.76923076923077
30168,Cobb County,GA,NA,52.758620689655174,NA,NA
30213,Fulton County,GA,NA,51.724137931034484,NA,NA
30236,Clayton County,GA,NA,NA,29.912663755458514,NA
30273,Clayton County,GA,52.43619489559165,NA,56.4410480349345,NA
30291,Fulton County,GA,NA,53.103448275862064,35.480349344978166,NA
30318,Fulton County,GA,NA,31.724137931034484,27.40174672489083,NA
30319,DeKalb County,GA,NA,NA,89.95633187772926,NA
30328,Fulton County,GA,NA,NA,61.79039301310044,NA
30331,Fulton County,GA,NA,NA,44.65065502183406,NA
30341,DeKalb County,GA,53.82830626450116,NA,NA,NA
30349,Fulton County,GA,4.408352668213457,NA,NA,NA
30453,Tattnall County,GA,NA,NA,NA,98.29059829059828
30527,Hall County,GA,92.80742459396751,NA,NA,NA
30536,Gilmer County,GA,NA,NA,91.5938864628821,NA
30577,Stephens County,GA,NA,84.48275862068965,NA,NA
30633,Madison County,GA,70.76566125290023,NA,NA,NA
30747,Chattooga County,GA,NA,NA,NA,64.95726495726495
30813,Columbia County,GA,NA,NA,NA,80.76923076923077
30817,Lincoln County,GA,97.91183294663574,NA,78.05676855895196,NA
30906,Richmond County,GA,3.480278422273782,NA,46.288209606986904,NA
31204,Bibb County,GA,22.041763341067284,NA,74.56331877729258,NA
31320,Liberty County,GA,NA,NA,NA,79.05982905982906
31328,Chatham County,GA,NA,NA,99.0174672489083,NA
31405,Chatham County,GA,NA,NA,NA,39.31623931623932
31533,Coffee County,GA,94.89559164733178,NA,NA,NA
31546,Wayne County,GA,87.23897911832947,NA,NA,NA
31632,Lowndes County,GA,NA,NA,76.63755458515283,NA
31721,Dougherty County,GA,NA,NA,NA,62.39316239316239
31757,Thomas County,GA,NA,NA,68.77729257641921,NA
31763,Lee County,GA,NA,NA,46.39737991266376,NA
31794,Tift County,GA,NA,NA,26.855895196506552,NA
31904,Muscogee County,GA,89.55916473317865,NA,NA,NA
39828,Grady County,GA,NA,72.75862068965517,NA,NA
96748,Maui County,HI,NA,NA,87.99126637554585,NA
96786,Honolulu County,HI,NA,NA,31.65938864628821,NA
96792,Honolulu County,HI,NA,36.896551724137936,NA,NA
96813,Honolulu County,HI,NA,NA,NA,35.04273504273504
96819,Honolulu County,HI,NA,NA,16.48471615720524,NA
83341,Twin Falls County,ID,NA,NA,89.08296943231441,NA
83634,Ada County,ID,NA,NA,37.117903930131,NA
83687,Canyon County,ID,NA,NA,51.09170305676856,NA
60002,Lake County,IL,NA,94.48275862068965,NA,NA
60005,Cook County,IL,56.380510440835266,NA,NA,NA
60014,McHenry County,IL,59.164733178654295,NA,NA,NA
60016,Cook County,IL,NA,NA,52.40174672489083,NA
60025,Cook County,IL,NA,96.55172413793103,NA,NA
60030,Lake County,IL,79.58236658932715,NA,NA,NA
60035,Lake County,IL,NA,NA,40.72052401746725,NA
60041,Lake County,IL,86.5429234338747,NA,NA,NA
60044,Lake County,IL,NA,NA,78.60262008733623,NA
60047,Lake County,IL,29.23433874709977,NA,NA,NA
60050,McHenry County,IL,75.1740139211137,NA,NA,NA
60056,Cook County,IL,NA,NA,35.80786026200873,NA
60061,Lake County,IL,NA,NA,60.1528384279476,NA
60067,Cook County,IL,73.31786542923435,95.51724137931035,39.41048034934498,NA
60076,Cook County,IL,NA,NA,41.15720524017467,NA
60085,Lake County,IL,NA,76.89655172413794,NA,NA
60090,Cook County,IL,NA,NA,77.07423580786026,NA
60101,DuPage County,IL,NA,88.27586206896552,NA,NA
60107,Cook County,IL,61.48491879350348,NA,NA,NA
60118,Kane County,IL,71.46171693735499,NA,NA,NA
60123,Kane County,IL,70.06960556844548,NA,NA,NA
60134,Kane County,IL,46.403712296983755,NA,NA,NA
60148,DuPage County,IL,NA,NA,14.737991266375547,NA
60162,Cook County,IL,85.38283062645012,NA,NA,NA
60169,Cook County,IL,53.596287703016245,NA,NA,NA
60185,DuPage County,IL,NA,98.9655172413793,34.38864628820961,NA
60193,Cook County,IL,52.90023201856149,NA,NA,NA
60302,Cook County,IL,58.70069605568445,NA,NA,NA
60304,Cook County,IL,66.35730858468676,NA,NA,NA
60403,Will County,IL,53.82830626450116,NA,55.021834061135365,NA
60411,Cook County,IL,NA,NA,12.554585152838428,NA
60415,Cook County,IL,NA,NA,NA,85.8974358974359
60416,Grundy County,IL,52.204176334106734,NA,NA,NA
60420,Livingston County,IL,NA,NA,91.48471615720524,NA
60426,Cook County,IL,NA,NA,51.419213973799124,NA
60428,Cook County,IL,NA,NA,82.42358078602619,NA
60431,Will County,IL,21.11368909512761,NA,NA,NA
60432,Will County,IL,47.79582366589327,NA,NA,NA
60435,Will County,IL,NA,NA,10.262008733624455,NA
60447,Grundy County,IL,NA,NA,51.85589519650655,NA
60451,Will County,IL,NA,NA,48.14410480349345,NA
60453,Cook County,IL,NA,NA,14.301310043668122,NA
60466,Cook County,IL,NA,NA,44.86899563318777,NA
60467,Cook County,IL,NA,NA,47.161572052401745,NA
60472,Cook County,IL,NA,96.89655172413794,91.92139737991266,NA
60481,Will County,IL,46.403712296983755,NA,NA,NA
60487,Cook County,IL,NA,NA,NA,70.08547008547008
60505,Kane County,IL,NA,NA,NA,41.02564102564102
60506,Kane County,IL,NA,71.03448275862068,NA,NA
60532,DuPage County,IL,NA,NA,NA,46.15384615384615
60559,DuPage County,IL,NA,NA,40.72052401746725,NA
60564,Will County,IL,18.561484918793504,NA,NA,NA
60586,Will County,IL,75.63805104408353,NA,NA,NA
60601,Cook County,IL,NA,NA,92.24890829694323,NA
60608,Cook County,IL,NA,NA,53.60262008733624,NA
60609,Cook County,IL,NA,NA,10.58951965065502,17.094017094017094
60610,Cook County,IL,NA,NA,38.646288209606986,NA
60611,Cook County,IL,86.07888631090486,NA,NA,NA
60615,Cook County,IL,NA,NA,NA,51.70940170940172
60616,Cook County,IL,NA,NA,64.8471615720524,NA
60619,Cook County,IL,NA,NA,6.877729257641921,NA
60629,Cook County,IL,NA,NA,6.768558951965066,NA
60631,Cook County,IL,45.93967517401392,NA,NA,NA
60634,Cook County,IL,9.280742459396752,NA,NA,NA
60637,Cook County,IL,NA,NA,42.35807860262008,NA
60639,Cook County,IL,3.7122969837587005,NA,NA,NA
60640,Cook County,IL,29.930394431554525,NA,NA,NA
60644,Cook County,IL,NA,NA,8.624454148471617,NA
60645,Cook County,IL,NA,NA,64.62882096069869,NA
60649,Cook County,IL,NA,NA,39.19213973799127,NA
60652,Cook County,IL,NA,NA,27.510917030567683,NA
60653,Cook County,IL,NA,NA,NA,29.059829059829063
60655,Cook County,IL,NA,NA,72.81659388646288,NA
60657,Cook County,IL,NA,NA,20.74235807860262,NA
60707,Cook County,IL,NA,NA,19.65065502183406,NA
60970,Iroquois County,IL,NA,NA,88.64628820960698,NA
61008,Boone County,IL,NA,NA,NA,19.65811965811966
61081,Whiteside County,IL,NA,96.89655172413794,NA,NA
61350,LaSalle County,IL,NA,NA,44.75982532751092,NA
61401,Knox County,IL,NA,NA,57.096069868995635,NA
61443,Henry County,IL,NA,NA,NA,50.85470085470085
61615,Peoria County,IL,NA,NA,NA,61.965811965811966
61701,McLean County,IL,37.81902552204176,NA,NA,NA
61727,De Witt County,IL,NA,NA,67.46724890829694,NA
61832,Vermilion County,IL,NA,NA,77.9475982532751,NA
61920,Coles County,IL,NA,NA,NA,52.13675213675214
61938,Coles County,IL,NA,NA,42.13973799126637,NA
61953,Douglas County,IL,NA,NA,89.51965065502183,NA
62298,Monroe County,IL,NA,NA,77.40174672489083,NA
62363,Pike County,IL,NA,NA,99.89082969432314,NA
62521,Macon County,IL,77.49419953596288,98.62068965517241,12.22707423580786,NA
62550,Shelby County,IL,99.30394431554525,NA,NA,NA
62650,Morgan County,IL,NA,NA,49.12663755458515,NA
62701,Sangamon County,IL,NA,92.75862068965517,NA,NA
62704,Sangamon County,IL,NA,NA,43.44978165938865,NA
62801,Marion County,IL,NA,NA,46.943231441048034,NA
46001,Madison County,IN,NA,NA,98.14410480349345,NA
46016,Madison County,IN,NA,NA,14.847161572052403,NA
46037,Hamilton County,IN,NA,NA,62.44541484716157,NA
46041,Clinton County,IN,43.38747099767982,NA,NA,NA
46058,Clinton County,IN,98.37587006960557,NA,NA,NA
46131,Johnson County,IN,NA,NA,81.33187772925764,NA
46140,Hancock County,IN,NA,NA,27.947598253275107,NA
46158,Morgan County,IN,NA,NA,76.31004366812228,NA
46203,Marion County,IN,NA,26.89655172413793,NA,NA
46204,Marion County,IN,87.70301624129931,NA,NA,NA
46219,Marion County,IN,NA,NA,NA,54.27350427350427
46227,Marion County,IN,NA,NA,9.82532751091703,53.41880341880342
46250,Marion County,IN,NA,NA,88.31877729257643,NA
46307,Lake County,IN,0,NA,NA,NA
46311,Lake County,IN,23.665893271461716,NA,NA,NA
46312,Lake County,IN,9.976798143851507,83.79310344827586,NA,NA
46342,Lake County,IN,NA,NA,6.331877729257641,NA
46368,Porter County,IN,25.05800464037123,NA,NA,NA
46394,Lake County,IN,60.32482598607889,NA,50.87336244541485,NA
46406,Lake County,IN,NA,99.3103448275862,NA,NA
46408,Lake County,IN,29.930394431554525,NA,NA,NA
46410,Lake County,IN,38.05104408352668,NA,7.641921397379912,NA
46517,Elkhart County,IN,NA,NA,72.92576419213974,NA
46528,Elkhart County,IN,23.201856148491878,NA,NA,NA
46550,Elkhart County,IN,NA,95.86206896551724,NA,NA
46561,St. Joseph County,IN,NA,66.55172413793103,NA,NA
46580,Kosciusko County,IN,NA,NA,86.8995633187773,NA
46617,St. Joseph County,IN,NA,NA,92.57641921397381,NA
46637,St. Joseph County,IN,NA,NA,NA,89.74358974358975
46725,Whitley County,IN,NA,NA,81.22270742358079,NA
46750,Huntington County,IN,92.34338747099768,NA,80.78602620087337,NA
46755,Noble County,IN,NA,NA,26.746724890829693,NA
46803,Allen County,IN,NA,NA,80.89519650655022,NA
46809,Allen County,IN,NA,NA,52.183406113537124,NA
46835,Allen County,IN,91.1832946635731,NA,NA,NA
46902,Howard County,IN,91.415313225058,NA,NA,NA
46947,Cass County,IN,25.52204176334107,NA,NA,NA
46952,Grant County,IN,54.292343387471,NA,80.02183406113537,32.47863247863248
46953,Grant County,IN,NA,NA,79.36681222707423,NA
46970,Miami County,IN,NA,NA,10.152838427947598,NA
46975,Fulton County,IN,NA,NA,93.3406113537118,NA
47001,Dearborn County,IN,77.9582366589327,NA,NA,NA
47012,Franklin County,IN,NA,NA,NA,78.2051282051282
47025,Dearborn County,IN,NA,67.24137931034483,NA,NA
47042,Ripley County,IN,NA,97.58620689655172,NA,NA
47130,Clark County,IN,38.2830626450116,NA,NA,NA
47138,Scott County,IN,87.93503480278422,NA,NA,NA
47167,Washington County,IN,NA,NA,47.05240174672489,NA
47201,Bartholomew County,IN,0.9280742459396751,NA,NA,NA
