ZipCode,county,state,Pediatric,Retirement
10032,New York County,NY,13.17365269461078,NA
10040,New York County,NY,25.149700598802394,NA
10301,Richmond County,NY,29.94011976047904,NA
10452,Bronx County,NY,2.3952095808383236,0.9950248756218906
10453,Bronx County,NY,4.790419161676647,NA
10455,Bronx County,NY,5.389221556886228,NA
10456,Bronx County,NY,19.16167664670659,NA
10457,Bronx County,NY,1.7964071856287425,NA
10458,Bronx County,NY,7.18562874251497,NA
10466,Bronx County,NY,6.58682634730539,NA
10469,Bronx County,NY,13.77245508982036,NA
10474,Bronx County,NY,62.27544910179641,NA
11203,Kings County,NY,22.15568862275449,NA
11205,Kings County,NY,37.72455089820359,NA
11206,Kings County,NY,41.31736526946108,NA
11207,Kings County,NY,2.9940119760479043,NA
11208,Kings County,NY,NA,1.9900497512437811
11214,Kings County,NY,26.34730538922156,NA
11220,Kings County,NY,1.1976047904191618,NA
11221,Kings County,NY,8.982035928143713,NA
11225,Kings County,NY,50.898203592814376,NA
11226,Kings County,NY,8.383233532934131,NA
11231,Kings County,NY,55.688622754491014,NA
11234,Kings County,NY,NA,14.925373134328357
11361,Queens County,NY,NA,81.59203980099502
11368,Queens County,NY,34.13173652694611,NA
11377,Queens County,NY,22.15568862275449,NA
11385,Queens County,NY,16.16766467065868,NA
11550,Nassau County,NY,12.574850299401197,NA
11710,Nassau County,NY,NA,64.6766169154229
11720,Suffolk County,NY,76.04790419161677,NA
11746,Suffolk County,NY,52.09580838323353,NA
11801,Nassau County,NY,86.82634730538922,NA
13021,Cayuga County,NY,NA,2.9850746268656714
13326,Otsego County,NY,NA,98.00995024875621
13357,Herkimer County,NY,NA,60.19900497512438
13820,Otsego County,NY,NA,11.442786069651742
14048,Chautauqua County,NY,NA,51.243781094527364
14120,Niagara County,NY,NA,10.945273631840797
14206,Erie County,NY,79.04191616766467,NA
14450,Monroe County,NY,NA,18.90547263681592
14850,Tompkins County,NY,NA,8.955223880597014
27262,Guilford County,NC,NA,65.17412935323384
27284,Forsyth County,NC,NA,23.383084577114428
27295,Davidson County,NC,NA,4.477611940298507
27330,Lee County,NC,NA,37.3134328358209
27518,Wake County,NC,NA,59.70149253731343
27540,Wake County,NC,NA,57.711442786069654
27909,Pasquotank County,NC,NA,18.407960199004975
28110,Union County,NC,NA,26.368159203980102
58078,Cass County,ND,NA,22.388059701492537
58104,Cass County,ND,46.706586826347305,NA
43026,Franklin County,OH,10.179640718562874,NA
43055,Licking County,OH,NA,1.4925373134328357
43119,Franklin County,OH,61.07784431137725,NA
43206,Franklin County,OH,17.365269461077844,NA
43213,Franklin County,OH,25.748502994011975,NA
43224,Franklin County,OH,28.143712574850298,NA
43228,Franklin County,OH,11.976047904191617,NA
43229,Franklin County,OH,NA,12.437810945273633
43302,Marion County,OH,39.52095808383233,NA
43723,Guernsey County,OH,79.64071856287424,NA
44001,Lorain County,OH,62.874251497005986,4.975124378109453
44011,Lorain County,OH,NA,38.308457711442784
44053,Lorain County,OH,NA,9.45273631840796
44060,Lake County,OH,52.69461077844312,NA
44074,Lorain County,OH,76.64670658682635,NA
44104,Cuyahoga County,OH,16.766467065868262,NA
44106,Cuyahoga County,OH,73.05389221556887,NA
44108,Cuyahoga County,OH,30.538922155688624,NA
44119,Cuyahoga County,OH,74.8502994011976,NA
44130,Cuyahoga County,OH,38.92215568862276,NA
44133,Cuyahoga County,OH,88.02395209580838,NA
44134,Cuyahoga County,OH,65.26946107784431,NA
44135,Cuyahoga County,OH,42.51497005988024,NA
44140,Cuyahoga County,OH,NA,40.79601990049751
44146,Cuyahoga County,OH,NA,23.88059701492537
44221,Summit County,OH,53.89221556886228,NA
44240,Portage County,OH,44.91017964071856,33.83084577114428
44306,Summit County,OH,18.562874251497004,NA
44320,Summit County,OH,NA,28.855721393034827
44333,Summit County,OH,NA,52.736318407960205
44646,Stark County,OH,NA,17.412935323383085
44691,Wayne County,OH,NA,6.965174129353234
44805,Ashland County,OH,NA,5.970149253731343
44857,Huron County,OH,50.29940119760479,NA
45014,Butler County,OH,20.359281437125748,NA
45042,Butler County,OH,54.49101796407185,45.77114427860697
45044,Butler County,OH,11.377245508982035,NA
45140,Clermont County,OH,53.293413173652695,NA
45206,Hamilton County,OH,70.05988023952095,NA
45216,Hamilton County,OH,49.700598802395206,NA
45220,Hamilton County,OH,NA,91.04477611940298
45223,Hamilton County,OH,66.46706586826348,NA
45231,Hamilton County,OH,7.784431137724551,NA
45232,Hamilton County,OH,36.52694610778443,NA
45237,Hamilton County,OH,31.137724550898206,NA
45238,Hamilton County,OH,21.55688622754491,24.378109452736318
45242,Hamilton County,OH,85.62874251497006,NA
45245,Clermont County,OH,73.65269461077844,NA
45750,Washington County,OH,NA,0
73005,Caddo County,OK,56.886227544910184,NA
73130,Oklahoma County,OK,NA,53.73134328358209
73139,Oklahoma County,OK,75.44910179640718,NA
73401,Carter County,OK,49.101796407185624,NA
74571,Le Flore County,OK,89.22155688622755,NA
74631,Kay County,OK,NA,93.03482587064677
74849,Seminole County,OK,97.60479041916167,NA
74959,Le Flore County,OK,82.03592814371258,NA
97007,Washington County,OR,NA,39.800995024875625
97232,Multnomah County,OR,NA,83.08457711442786
97266,Multnomah County,OR,67.66467065868264,NA
97378,Yamhill County,OR,97.0059880239521,NA
17055,Cumberland County,PA,NA,26.865671641791046
17057,Dauphin County,PA,NA,27.860696517412936
17070,Cumberland County,PA,94.01197604790418,NA
17821,Montour County,PA,NA,21.890547263681594
19103,Philadelphia County,PA,NA,35.82089552238806
02909,Providence County,RI,NA,43.78109452736319
29154,Sumter County,SC,95.80838323353294,NA
29407,Charleston County,SC,68.26347305389223,NA
29464,Charleston County,SC,NA,34.82587064676617
57785,Meade County,SD,NA,94.02985074626866
37167,Rutherford County,TN,55.08982035928144,NA
75082,Collin County,TX,NA,50.74626865671642
75147,Kaufman County,TX,NA,89.55223880597015
75241,Dallas County,TX,35.92814371257485,NA
76528,Coryell County,TX,NA,20.8955223880597
76706,McLennan County,TX,NA,80.59701492537313
77017,Harris County,TX,81.437125748502993,NA
77031,Harris County,TX,NA,88.55721393034825
77039,Harris County,TX,NA,62.189054726368155
77494,Fort Bend County,TX,NA,25.870646766169152
77539,Galveston County,TX,NA,14.427860696517413
77803,Brazos County,TX,57.48502994011976,NA
78501,Hidalgo County,TX,NA,34.32835820895522
78521,Cameron County,TX,NA,29.35323383084577
78552,Cameron County,TX,NA,76.11940298507463
78596,Hidalgo County,TX,NA,61.69154228855721
78739,Travis County,TX,NA,98.50746268656717
84103,Salt Lake County,UT,NA,77.61194029850746
05672,Lamoille County,VT,NA,97.01492537313433
24588,Campbell County,VA,NA,90.54726368159204
98029,King County,WA,NA,68.65671641791045
98125,King County,WA,NA,43.28358208955223
98631,Pacific County,WA,NA,94.5273631840796
98801,Chelan County,WA,82.63473053892216,NA
98802,Douglas County,WA,NA,40.298507462686565
98815,Chelan County,WA,NA,96.51741293532339
98816,Chelan County,WA,NA,82.08955223880598
98826,Chelan County,WA,99.40119760479041,NA
98848,Grant County,WA,NA,83.5820895522388
26301,Harrison County,WV,60.47904191616767,NA
53186,Waukesha County,WI,NA,86.56716417910447
53206,Milwaukee County,WI,26.94610778443114,NA
53219,Milwaukee County,WI,NA,15.92039800995025
53566,Green County,WI,NA,31.8407960199005
53593,Dane County,WI,NA,55.72139303482587
53948,Juneau County,WI,NA,73.6318407960199
54601,La Crosse County,WI,45.50898203592814,63.681592039801
54636,La Crosse County,WI,98.20359281437125,NA
54650,La Crosse County,WI,NA,11.940298507462686
54665,Vernon County,WI,NA,74.12935323383084
