ZipCode,county,state,Youth,Geriatric
48744,Tuscola County,MI,73.8197424892704,NA
49004,Kalamazoo County,MI,NA,47.593582887700535
49006,Kalamazoo County,MI,45.06437768240343,NA
49057,Van Buren County,MI,NA,92.51336898395722
49065,Van Buren County,MI,49.35622317596567,NA
49083,Kalamazoo County,MI,53.648068669527895,NA
49117,Berrien County,MI,92.27467811158799,NA
49461,Muskegon County,MI,79.82832618025752,NA
49519,Kent County,MI,NA,26.737967914438503
49660,Manistee County,MI,77.25321888412017,NA
49756,Montmorency County,MI,NA,71.65775401069519
49938,Gogebic County,MI,NA,49.73262032085562
55126,Ramsey County,MN,63.94849785407726,NA
55313,Wright County,MN,78.54077253218884,NA
55362,Wright County,MN,NA,54.01069518716578
55379,Scott County,MN,67.81115879828327,NA
55430,Hennepin County,MN,15.021459227467812,NA
55719,St. Louis County,MN,95.708154506437765,NA
38655,Lafayette County,MS,NA,91.44385026737967
38965,Yalobusha County,MS,NA,97.32620320855615
39074,Scott County,MS,12.446351931330472,NA
39560,Harrison County,MS,64.37768240343348,NA
39565,Jackson County,MS,NA,64.70588235294117
63376,St. Charles County,MO,44.20600858369099,NA
64015,Jackson County,MO,18.4549356223176,NA
64060,Clay County,MO,16.30901287553648,NA
64062,Ray County,MO,70.3862660944206,NA
64082,Jackson County,MO,23.605150214592275,NA
64152,Platte County,MO,27.467811158798284,NA
64155,Clay County,MO,10.300429184549357,NA
64730,Bates County,MO,NA,49.19786096256685
65401,Phelps County,MO,NA,75.40106951871658
65625,Barry County,MO,NA,66.31016042780749
65785,Cedar County,MO,58.36909871244635,NA
65807,Greene County,MO,9.871244635193133,NA
68028,Sarpy County,NE,51.50214592274678,NA
68506,Lancaster County,NE,NA,79.14438502673798
68521,Lancaster County,NE,NA,95.18716577540107
69101,Lincoln County,NE,71.67381974248927,NA
89110,Clark County,NV,27.038626609442062,NA
03458,Hillsborough County,NH,NA,33.68983957219251
03833,Rockingham County,NH,NA,96.79144385026738
07020,Bergen County,NJ,NA,98.93048128342245
07023,Union County,NJ,72.53218884120172,NA
07072,Bergen County,NJ,98.28326180257511,NA
07075,Bergen County,NJ,62.66094420600859,NA
07094,Hudson County,NJ,NA,78.6096256684492
07524,Passaic County,NJ,92.7038626609442,NA
07728,Monmouth County,NJ,7.296137339055794,NA
07853,Morris County,NJ,94.84978540772532,NA
07871,Sussex County,NJ,87.55364806866953,NA
08005,Ocean County,NJ,19.742489270386265,NA
08054,Burlington County,NJ,20.171673819742487,NA
08094,Gloucester County,NJ,24.892703862660944,NA
08501,Monmouth County,NJ,NA,87.70053475935828
08551,Hunterdon County,NJ,68.6695278969957,NA
08721,Ocean County,NJ,38.197424892703864,NA
08817,Middlesex County,NJ,NA,35.82887700534759
08848,Hunterdon County,NJ,97.85407725321889,NA
08867,Hunterdon County,NJ,56.22317596566524,NA
88220,Eddy County,NM,35.622317596566525,NA
10018,New York County,NY,NA,81.28342245989305
10021,New York County,NY,88.41201716738198,NA
10032,New York County,NY,NA,3.2085561497326207
10475,Bronx County,NY,NA,4.81283422459893
10530,Westchester County,NY,NA,83.42245989304813
10541,Putnam County,NY,NA,83.9572192513369
10703,Westchester County,NY,NA,47.05882352941176
11428,Queens County,NY,NA,70.05347593582889
11542,Nassau County,NY,NA,28.87700534759358
11937,Suffolk County,NY,NA,100
12590,Dutchess County,NY,NA,97.86096256684492
13734,Tioga County,NY,65.66523605150213,NA
14032,Erie County,NY,54.506437768240346,NA
14212,Erie County,NY,28.32618025751073,NA
14217,Erie County,NY,87.1244635193133,NA
14219,Erie County,NY,57.93991416309014,NA
14221,Erie County,NY,29.184549356223176,NA
27030,Surry County,NC,NA,0.53475935828877
27052,Stokes County,NC,NA,51.33689839572193
27703,Durham County,NC,NA,18.181818181818183
27704,Durham County,NC,60.94420600858369,NA
27803,Nash County,NC,80.68669527896995,NA
28226,Mecklenburg County,NC,NA,26.203208556149733
28338,Richmond County,NC,NA,99.46524064171123
28621,Surry County,NC,NA,72.72727272727273
28655,Burke County,NC,NA,5.88235294117647
28715,Buncombe County,NC,NA,42.780748663101605
28741,Macon County,NC,NA,95.72192513368985
28748,Buncombe County,NC,64.8068669527897,NA
28753,Madison County,NC,NA,80.74866310160428
28791,Henderson County,NC,NA,9.62566844919786
58047,Cass County,ND,83.69098712446352,NA
43015,Delaware County,OH,6.437768240343347,NA
43021,Delaware County,OH,NA,86.09625668449198
43040,Union County,OH,93.99141630901288,NA
43055,Licking County,OH,78.11158798283262,NA
43082,Delaware County,OH,NA,31.016042780748666
43202,Franklin County,OH,NA,93.04812834224599
43213,Franklin County,OH,19.313304721030043,NA
43220,Franklin County,OH,22.317596566523605,NA
43224,Franklin County,OH,59.227467811158796,NA
43228,Franklin County,OH,0,NA
43235,Franklin County,OH,30.042918454935624,20.32085561497326
43512,Defiance County,OH,21.030042918454935,NA
43537,Lucas County,OH,NA,18.71657754010695
43545,Henry County,OH,NA,51.87165775401069
43551,Wood County,OH,NA,39.57219251336899
43762,Muskingum County,OH,99.14163090128756,NA
44004,Ashtabula County,OH,NA,1.6042780748663104
44030,Ashtabula County,OH,NA,29.946524064171122
44035,Lorain County,OH,0.4291845493562232,NA
44053,Lorain County,OH,NA,21.390374331550802
44104,Cuyahoga County,OH,NA,43.85026737967914
