ZipCode,county,state,Pediatric,Adult,Retirement,Geriatric
96822,Honolulu County,HI,NA,NA,NA,11.666666666666666
83864,Bonner County,ID,NA,NA,NA,47.333333333333336
60025,Cook County,IL,NA,51.36612021857923,NA,NA
60045,Lake County,IL,NA,NA,26.741996233521657,NA
60077,Cook County,IL,NA,NA,33.52165725047081,NA
60104,Cook County,IL,NA,48.63387978142077,NA,NA
60126,DuPage County,IL,NA,14.48087431693989,25.6120527306968,NA
60140,Kane County,IL,NA,76.50273224043715,NA,NA
60153,Cook County,IL,NA,NA,28.24858757062147,47.66666666666667
60175,Kane County,IL,NA,NA,38.22975517890772,NA
60406,Cook County,IL,NA,NA,73.25800376647834,NA
60409,Cook County,IL,NA,39.34426229508197,NA,NA
60410,Will County,IL,NA,56.01092896174863,NA,NA
60411,Cook County,IL,NA,18.0327868852459,NA,NA
60439,Cook County,IL,NA,NA,21.092278719397363,NA
60491,Will County,IL,NA,44.26229508196721,30.508474576271187,NA
60506,Kane County,IL,NA,NA,29.001883239171374,NA
60527,DuPage County,IL,NA,NA,NA,47
60613,Cook County,IL,NA,36.885245901639344,NA,NA
60619,Cook County,IL,NA,10.10928961748634,NA,NA
60631,Cook County,IL,NA,NA,50.847457627118644,NA
60637,Cook County,IL,NA,54.37158469945356,NA,NA
60643,Cook County,IL,NA,42.07650273224044,NA,NA
60646,Cook County,IL,NA,NA,48.58757062146893,NA
60660,Cook County,IL,NA,NA,71.37476459510358,NA
60804,Cook County,IL,NA,NA,NA,33
60901,Kankakee County,IL,97.70992366412213,NA,NA,NA
61019,Stephenson County,IL,NA,NA,NA,88.33333333333333
61021,Lee County,IL,NA,41.53005464480874,57.43879472693032,55.00000000000001
61032,Stephenson County,IL,NA,NA,20.715630885122412,43.666666666666664
61061,Ogle County,IL,NA,NA,75.32956685499059,44
61254,Henry County,IL,NA,NA,75.70621468926554,NA
61822,Champaign County,IL,NA,NA,52.35404896421846,NA
62401,Effingham County,IL,NA,85.51912568306011,NA,NA
62448,Jasper County,IL,NA,NA,96.045197740113,NA
62881,Marion County,IL,NA,NA,NA,40.33333333333333
46013,Madison County,IN,NA,NA,23.540489642184557,NA
46017,Madison County,IN,NA,NA,77.77777777777779,NA
46221,Marion County,IN,NA,NA,46.13935969868173,NA
46222,Marion County,IN,NA,NA,31.26177024482109,NA
46307,Lake County,IN,NA,NA,3.389830508474576,NA
46373,Lake County,IN,NA,68.30601092896174,NA,NA
46383,Porter County,IN,NA,12.295081967213115,NA,NA
46544,St. Joseph County,IN,NA,NA,NA,37
46733,Adams County,IN,NA,NA,50.09416195856874,NA
47610,Warrick County,IN,NA,NA,92.46704331450094,NA
50208,Jasper County,IA,NA,NA,68.92655367231639,NA
50309,Polk County,IA,NA,66.66666666666666,NA,NA
50310,Polk County,IA,NA,NA,51.41242937853108,NA
50311,Polk County,IA,NA,80.60109289617486,NA,NA
50317,Polk County,IA,NA,16.666666666666664,17.890772128060263,NA
50511,Kossuth County,IA,NA,NA,76.27118644067797,67
52241,Johnson County,IA,85.87786259541986,54.91803278688525,61.39359698681732,NA
52245,Johnson County,IA,NA,NA,NA,48.66666666666667
52246,Johnson County,IA,NA,NA,NA,28.666666666666668
52302,Linn County,IA,NA,26.775956284153008,NA,NA
52317,Johnson County,IA,NA,58.7431693989071,74.01129943502825,NA
66006,Douglas County,KS,NA,NA,NA,99.33333333333333
66062,Johnson County,KS,NA,NA,18.832391713747647,NA
66509,Jackson County,KS,NA,100,NA,NA
66604,Shawnee County,KS,NA,NA,45.38606403013183,NA
67337,Montgomery County,KS,NA,NA,73.06967984934086,NA
67401,Saline County,KS,NA,26.229508196721312,NA,NA
41005,Boone County,KY,82.44274809160305,NA,NA,NA
41042,Boone County,KY,62.97709923664122,NA,NA,NA
41075,Campbell County,KY,NA,NA,93.78531073446328,NA
41219,Johnson County,KY,82.06106870229007,NA,NA,NA
41522,Pike County,KY,NA,NA,NA,93
